TrialNumber,SpeedUpTimeCalc,TrialStart,SpeedUpTimeAct,ReactionTime
1,1.38140194482267,0,0,0
2,2.64683331200683,0,0,0
3,2.46864354211242,0,0,0
4,1.25084812624371,0,0,0
5,1.13007286737276,0,0,0
6,1.06714212709174,0,0,0
7,1.58451819953125,0,0,0
8,2.90362950046415,0,0,0
9,2.47341645522027,0,0,0
10,1.68468042080456,0,0,0
11,1.25796733915722,0,0,0
12,1.98860387649669,0,0,0
13,1.81544726099998,0,0,0
14,0.805910769154631,0,0,0
15,2.19005064193884,0,0,0
16,0.995386986920542,0,0,0
17,2.48266429559393,0,0,0
18,1.52231050132185,0,0,0
19,2.27575652750526,0,0,0
20,2.40492642392366,0,0,0
21,2.23728521110864,0,0,0
22,2.95810579682673,0,0,0
23,0.834893798214002,0,0,0
24,2.08132240518858,0,0,0
25,1.15121660975774,0,0,0
26,1.04038524536191,0,0,0
27,2.70221720725095,0,0,0
28,2.26396224175755,0,0,0
29,1.87687053815041,0,0,0
30,0.785560809558009,0,0,0
31,1.02737677702116,0,0,0
32,2.75495989268027,0,0,0
33,1.92198300996817,0,0,0
34,0.900776780606739,0,0,0
35,1.34320628021559,0,0,0
36,2.50275379088822,0,0,0
37,1.23334218369604,0,0,0
38,1.85016394336281,0,0,0
39,2.47662283620977,0,0,0
40,1.83968401463226,0,0,0
41,2.90840712668232,0,0,0
42,2.75870931193694,0,0,0
43,1.48947437538291,0,0,0
44,1.0035318531488,0,0,0
45,1.35824005292699,0,0,0
46,1.66457742763772,0,0,0
47,1.65449848331141,0,0,0
48,1.51589260513609,0,0,0
49,1.96969035727406,0,0,0
50,2.91950802664314,0,0,0
51,2.564269503971,0,0,0
52,1.09140508442353,0,0,0
53,1.18001190892082,0,0,0
54,2.63916343149849,0,0,0
55,1.51269910440997,0,0,0
56,1.1576236206791,0,0,0
57,1.25247220200106,0,0,0
58,1.01215692905859,0,0,0
59,2.04973125959366,0,0,0
60,2.73318380728484,0,0,0
61,1.15523456033533,0,0,0
62,2.04949374524568,0,0,0
63,1.7016590006176,0,0,0
64,1.00987843583726,0,0,0
65,2.32492651595606,0,0,0
66,0.925236784420129,0,0,0
67,2.11499292623212,0,0,0
68,1.94068820728426,0,0,0
69,1.59560097737194,0,0,0
70,2.809524501834,0,0,0
71,2.53000719240124,0,0,0
72,1.8978534282455,0,0,0
73,1.11922009690162,0,0,0
74,1.10445681138174,0,0,0
75,2.40560362664132,0,0,0
76,1.8101087405938,0,0,0
77,2.74211359844651,0,0,0
78,1.68734365073311,0,0,0
79,1.24984976067567,0,0,0
80,1.97764714802739,0,0,0
81,0.857134306481959,0,0,0
82,1.71886233977388,0,0,0
83,1.1309565255163,0,0,0
84,2.94035620216837,0,0,0
85,2.16998621472383,0,0,0
86,1.43191309401008,0,0,0
87,1.04758612303134,0,0,0
88,2.77921571246016,0,0,0
89,2.18772384024377,0,0,0
90,1.56211037756394,0,0,0
91,1.4771858549978,0,0,0
92,2.12695847893659,0,0,0
93,2.39361219013613,0,0,0
94,2.75545730368412,0,0,0
95,1.89201352391153,0,0,0
96,1.69801864518777,0,0,0
97,2.60830237356807,0,0,0
98,1.40370719371052,0,0,0
99,2.48050424830925,0,0,0
100,1.61411069378701,0,0,0
101,2.8867591194104,0,0,0
102,2.02754427453848,0,0,0
103,2.2114013284191,0,0,0
104,2.83983797375472,0,0,0
105,1.75762772620801,0,0,0
106,2.72226513487214,0,0,0
107,2.27379287099842,0,0,0
108,1.40477759585278,0,0,0
109,1.81365363116994,0,0,0
110,2.12208936233543,0,0,0
111,2.12998288173393,0,0,0
112,0.751094615351653,0,0,0
113,1.69825592568746,0,0,0
114,1.28884358927342,0,0,0
115,1.6799710888447,0,0,0
116,1.01489247834115,0,0,0
117,1.29190581640675,0,0,0
118,2.57155608706424,0,0,0
119,2.0641496984355,0,0,0
120,1.90283758107028,0,0,0
121,2.71405621337687,0,0,0
122,1.11070956855674,0,0,0
123,2.98469099466384,0,0,0
124,2.70012860666953,0,0,0
125,2.07241669486098,0,0,0
126,1.58823038951046,0,0,0
127,2.23114010611913,0,0,0
128,1.6192058288855,0,0,0
129,2.33012609410172,0,0,0
130,2.36698053589352,0,0,0
131,1.0679243665566,0,0,0
132,1.3521497088358,0,0,0
133,1.97118643623919,0,0,0
134,1.71205291532023,0,0,0
135,2.93470689409189,0,0,0
136,1.57115042295,0,0,0
137,1.90851885213045,0,0,0
138,1.56371628704133,0,0,0
139,2.24914722744894,0,0,0
140,1.98792548928456,0,0,0
141,2.15238285939202,0,0,0
142,2.9163676168262,0,0,0
143,1.67240769225652,0,0,0
144,2.42368419012817,0,0,0
145,2.96618497331177,0,0,0
146,2.19088096148206,0,0,0
147,1.63288175854013,0,0,0
148,2.9806657976747,0,0,0
149,1.74704427481858,0,0,0
150,1.04344463538046,0,0,0
